piInstitution,projects,cohort,match_method,ever_used
Whitman College,1,Other academic,keyword,False
Newman University,1,Other academic,keyword,False
Santa Barbara City College,1,Other academic,keyword,False
Rose-Hulman Institute of Technology,1,Other academic,xdmod,True
Western Institute for Advanced Study,1,Non-academic,keyword,False
Role Playing LLC,1,Non-academic,keyword,False
Eastern Washington University,1,RCU,carnegie,False
Cedar Crest College,1,Other academic,xdmod,True
Morehead State University,1,RCU,carnegie,False
Yeshiva University,1,R2,xdmod,True
"University of Louisiana, Lafayette",1,R1,xdmod,True
University of San Francisco,1,R2,xdmod,True
Rio Hondo College,1,Other academic,keyword,False
University of Texas of the Permian Basin,1,RCU,carnegie-fuzzy96,False
Shasta College,1,Other academic,keyword,False
Franklin and Marshall College,1,RCU,carnegie,False
Metropolitan State University of Denver,1,Other academic,keyword,False
City College of San Francisco,1,Other academic,keyword,False
"National Ecological Observatory Network (NEON), Battelle",1,Non-academic,keyword,False
El Camino College,1,Other academic,keyword,False
Orange Coast College,1,Other academic,keyword,False
Saddleback College,1,Other academic,keyword,False
Berkeley City College,1,Other academic,keyword,False
Reedley College,1,Other academic,keyword,False
Duke University Medical Center,1,R1,manual,False
Alfred State College,1,Other academic,xdmod,True
Blue Marble Space Institute of Science,1,Non-academic,keyword,False
University of Richmond,1,RCU,xdmod,True
University of Washington Bothell,1,RCU,carnegie,False
Boston Children's Hospital,1,Non-academic,keyword,False
Wentworth Institute of Technology,1,Non-academic,keyword,False
SUNY - Farmingdale State College,1,Other academic,keyword,False
University of Iowa Carver College of Medicine,1,R1,xdmod,True
Creighton University,1,R2,carnegie,False
California Office of Environmental Health Hazard Assessment,1,Non-academic,keyword,False
Valdosta State University,1,Other academic,keyword,False
Empire State University,1,Other academic,keyword,False
"nOhm Devices, Inc.",1,Non-academic,keyword,False
Earlham College,1,Other academic,keyword,False
Dassault Systems,1,Non-academic,xdmod,True
Black Diamond Project Corp,1,Non-academic,xdmod,True
California State University-Channel Islands,1,RCU,xdmod,True
Bennington College,1,Other academic,keyword,False
Allen Institute,1,Non-academic,keyword,False
CyberGIS Center at UIUC,1,R1,manual,False
Cornell College,1,Other academic,xdmod,True
"Northern California Institute for Research and Education, Inc.",1,Non-academic,xdmod,True
Rosalind Franklin University,1,Other academic,xdmod,True
Nocturnal Inc.,1,Non-academic,xdmod,True
Stanford University School of Medicine,1,R1,xdmod,True
Moffitt Cancer Center,1,Non-academic,xdmod,True
Virginia Military Institute,1,Non-academic,xdmod,True
Sound Ethics Inc.,1,Non-academic,xdmod,True
Suffolk University,1,RCU,carnegie,False
Pace University,1,RCU,xdmod,True
University of Puget Sound,1,Other academic,keyword,False
Mount Holyoke College,1,RCU,carnegie,False
Aquinas College,1,Other academic,xdmod,True
Andrews University,1,Other academic,keyword,False
Iowa Western Community College,1,Other academic,keyword,False
KWAAI,1,Non-academic,xdmod,True
Salient Predictions Inc.,1,Non-academic,keyword,False
Sanford Burnham Prebys Medical Discovery Institute,1,Non-academic,keyword,False
Furman University,1,Other academic,keyword,False
Caldwell University,1,Other academic,xdmod,True
Southwest Research Institute,1,Non-academic,xdmod,True
Chatham University,1,Other academic,xdmod,True
Virginia State University,1,R2,xdmod,True
"Earthwise System Solutions, LLC",1,Non-academic,keyword,False
"University of Tennessee, Chattanooga",1,RCU,carnegie,False
Northern Fei Tian College,1,Foreign/Unknown,xdmod,True
Indiana University Southeast,1,Other academic,keyword,False
American Public University System,1,Other academic,xdmod,True
"CSRS, a Westwood Company",1,Non-academic,xdmod,True
Hamilton College,1,RCU,carnegie,False
Dataerai Inc.,1,Non-academic,keyword,False
Cincinnati Children's Hospital Medical Center,1,Non-academic,xdmod,True
Montclair State University,1,R2,carnegie,False
Planetary Science Institute,1,Non-academic,xdmod,True
Advanced Micro Devices,1,Non-academic,xdmod,True
University of Findlay,1,Other academic,xdmod,True
St. John's University,1,RCU,xdmod,True
"University of Arkansas, Little Rock",1,R2,xdmod,True
Spatiolyx LLC,1,Non-academic,xdmod,True
Iona University,1,Other academic,xdmod,True
Oklahoma School of Science and Math,1,Other academic,xdmod,True
Duquesne University,1,R2,xdmod,True
US Naval Academy,1,RCU,xdmod,True
University of Wisconsin-Eau Claire,1,Other academic,keyword,False
Butte College,1,Other academic,keyword,False
"Tandav-Sci, Inc.",1,Non-academic,xdmod,True
San Diego Zoo Institute for Conservation Research,1,Non-academic,xdmod,True
Dakota State University,1,RCU,carnegie,False
Arkansas State University,1,R2,xdmod,True
Savannah State University,1,Other academic,xdmod,True
Medical College of Wisconsin,1,R2,carnegie,False
Whittier Union High School District,1,Other academic,keyword,False
Johnson County Community College,1,Other academic,keyword,False
Research Corporation of the University of Hawaii,1,R1,manual,False
Deeployable AI Inc.,1,Non-academic,keyword,False
Kentucky Science & Technology Corporation,1,Non-academic,keyword,False
"OncoC4, Inc.",1,Non-academic,xdmod,True
Hope College,1,RCU,xdmod,True
Luther College,1,Other academic,keyword,False
Catholic University of America,1,R1,xdmod,True
Code for Science and Society / 2i2c,1,Non-academic,keyword,False
"10x Genomics, Inc.",1,Non-academic,keyword,False
Uniformed Services University of the Health Sciences,1,R1,xdmod,True
Lawrence Technological University,1,RCU,xdmod,True
Chicago State University,1,RCU,carnegie,False
Muhlenberg College,1,Other academic,keyword,False
Delaware State University,1,R2,xdmod,True
Luminis Health,1,Non-academic,keyword,False
QodeX Quantum,1,Non-academic,xdmod,True
Saint Francis University,1,Other academic,xdmod,True
"Aeolus Labs, Inc.",1,Non-academic,xdmod,True
SUNY College at New Paltz,1,Other academic,keyword,False
Lenoir–Rhyne University,1,Other academic,xdmod,True
W.M. Keck Observatory,1,Non-academic,keyword,False
Gannon University,1,Other academic,keyword,False
Drew University,1,RCU,xdmod,True
Automattic Inc.,1,Non-academic,keyword,False
Last Energy,1,Non-academic,xdmod,True
Slippery Rock University,1,Other academic,xdmod,True
Peptilogics Inc.,1,Non-academic,xdmod,True
National Institutes of Health,1,Non-academic,xdmod,True
Florida A&M University,1,R2,xdmod,True
Scripps College,1,Other academic,xdmod,True
Renaissance Computing Institute,1,Non-academic,keyword,False
National Ecological Observatory Network,1,Non-academic,keyword,False
Southeast Missouri State University,1,Other academic,keyword,False
"York College, City University of New York",1,Other academic,xdmod,True
Los Angeles Harbor College,1,Other academic,keyword,False
"Re Plus Collective, Inc.",1,Non-academic,keyword,False
Wheaton College (Massachusetts),1,Other academic,xdmod,True
University of Northern Colorado,1,R2,xdmod,True
Goshen College,1,Other academic,keyword,False
Toyota Technological Institute at Chicago,1,RCU,carnegie,False
Fulton Science Academy Private School,1,Other academic,keyword,False
University of New England,1,R2,carnegie,False
University of the Virgin Islands,1,RCU,xdmod,True
Universities Space Research Association,1,Non-academic,xdmod,True
University of Pittsburgh at Johnstown,1,Other academic,xdmod,True
California State University-Long Beach,1,R2,carnegie,False
Hood College,1,Other academic,xdmod,True
Boston College,1,R1,xdmod,True
HPC Advisory Council,1,Non-academic,xdmod,True
Merrimack College,1,Other academic,xdmod,True
Texas A&M University–Texarkana,1,Other academic,xdmod,True
University of Houston-Clear Lake,1,Other academic,xdmod,True
College of Wooster,1,Other academic,xdmod,True
St. Mary's College of Maryland,1,Other academic,xdmod,True
Debater Hub,1,Non-academic,keyword,False
Claflin University,1,Other academic,xdmod,True
Las Cumbres Observatory,1,Non-academic,keyword,False
CFD Research Corp.,1,Non-academic,xdmod,True
Youngstown State University,1,RCU,xdmod,True
Massachusetts Eye and Ear,1,Non-academic,xdmod,True
KBR,1,Non-academic,xdmod,True
Purple Maiʻa Foundation,1,Non-academic,keyword,False
"Integral Consulting, Inc.",1,Non-academic,keyword,False
Thomas Jefferson University,1,R2,xdmod,True
The Children's Hospital of Philadelphia,1,Non-academic,xdmod,True
"University of Massachusetts, Dartmouth",1,R2,xdmod,True
Jet Propulsion Laboratory,1,Non-academic,xdmod,True
Grambling State University,1,Other academic,keyword,False
SUNY Health Science Center at Syracuse,1,Non-academic,keyword,False
Institute of Organic Chemistry and Biochemistry Boston,1,Foreign/Unknown,xdmod,True
Wellesley College,1,RCU,xdmod,True
National Oceanic and Atmospheric Administration,1,Non-academic,xdmod,True
University of Wisconsin-Parkside,1,Other academic,xdmod,True
Woodwell Climate Research Center,1,Non-academic,xdmod,True
High Point University,1,Other academic,xdmod,True
Benedictine College,1,Other academic,xdmod,True
Bates College,1,Other academic,xdmod,True
Embry-Riddle Aeronautical University,1,R2,xdmod,True
University of Mary Washington,1,Other academic,xdmod,True
Marian University,1,RCU,xdmod,True
Frederick National Laboratory for Cancer Research,1,Non-academic,keyword,False
University of Northern Iowa,1,RCU,xdmod,True
Mederrata,1,Non-academic,xdmod,True
