pi_institution,total_ace,total_cpu_hours,total_node_hours,job_count,active_pi_count,active_allocation_count,active_person_count
Duquesne U - Duquesne University,8589089.8996,8080834.355,158633.2492,25201.0,2.0,2.0,11.0
E Tenn State U - East Tennessee State University,374840.3519,371085.7717,7479.7608,1568.0,4.0,4.0,36.0
EDF - Environmental Defense Fund,72158.9619,57488.3628,565.8303,636.0,1.0,1.0,1.0
ETAMU - East Texas A&M University,2961.0082,4914.5697,4413.2442,11722.0,1.0,1.0,4.0
East Carolina U - East Carolina University,230707.3429,45683.7222,1334.1311,2938.0,6.0,7.0,25.0
Eastern Illinois U - Eastern Illinois University,2552880.2795,2552722.2925,280999.9622,989006.0,2.0,6.0,17.0
Eastern Michigan U - Eastern Michigan University,30242.186,30231.85,1458.915,52.0,1.0,1.0,1.0
Eckerd College - Eckerd College,21517.4995,16108.5022,335.5558,85.0,1.0,1.0,1.0
Einstein College of Med - Albert Einstein College of Medicine,81416.1832,730.1625,730.0664,183.0,1.0,1.0,2.0
Elmhurst University,2464.1587,2464.0356,19.2503,58.0,1.0,1.0,1.0
Elon U - Elon University,255818.0797,255533.1469,2008.9897,1689.0,1.0,1.0,1.0
Embry-Riddle U - Embry-Riddle Aeronautical University,62627.1134,53055.1314,478.0397,222.0,2.0,2.0,3.0
Emory U - Emory University,7267379.7492,6196991.3939,354496.8969,51755.0,12.0,16.0,30.0
Epsilon Delta Labs - Epsilon Delta Labs,2221373.0114,3906138.2431,94189.4617,5611.0,1.0,3.0,2.0
"Erudio Bio, Inc.",1525625.5537,28036.4644,28036.4644,1337.0,1.0,2.0,2.0
Fairfield U - Fairfield University,222593.1749,24930.4533,259.6922,8.0,1.0,1.0,1.0
Fairleigh Dickinson U - Fairleigh Dickinson University,1160544.014,967530.5344,18798.7353,2566.0,4.0,5.0,10.0
Fayetteville State U - Fayetteville State University,0.0,0.0094,0.0094,1.0,1.0,1.0,1.0
Fermilab - Fermi National Accelerator Laboratory,23033572.4,98996639.9072,1643451.0433,524.0,2.0,2.0,2.0
Ferris - Ferris State University,212531.0375,212532.8656,37481.8672,35656.0,1.0,1.0,6.0
Fitchburg State U - Fitchburg State University,1.9964,2.0028,2.0028,1.0,1.0,1.0,1.0
Florida A&M U - Florida A&M University,8418813.4007,12717304.8903,203308.5089,14608.0,2.0,5.0,8.0
Florida Atlantic U - Florida Atlantic University,3227205.3154,2865464.2603,22889.4094,1200.0,5.0,6.0,16.0
Florida Gulf Coast U - Florida Gulf Coast University,100605.777,81573.3156,1188.4044,28.0,1.0,1.0,1.0
Florida Intl U - Florida International University,11051325.9717,9003174.0364,944480.7444,104982.0,23.0,27.0,32.0
Florida Polytechnic U - Florida Polytechnic University,106170.9402,53068.1747,829.4497,327.0,1.0,1.0,2.0
Florida Southern College - Florida Southern College,141436.5213,135265.4756,3614.5381,1821.0,1.0,1.0,43.0
Florida State U - Florida State University,58099276.686,67513609.5753,803406.1861,68754.0,21.0,27.0,80.0
Fordham U - Fordham University,524856.5725,107944.0553,6722.2936,13535.0,3.0,3.0,8.0
Fort Lewis College - Fort Lewis College,1804.6042,1503.9889,142.1236,63.0,1.0,1.0,2.0
Fort Valley State U - Fort Valley State University,13198.4528,2843.1311,101.9736,66.0,1.0,1.0,5.0
Fox Chase Cancer Ctr - Fox Chase Cancer Center,11399003.4313,14040551.8497,2628895.2578,297554.0,3.0,4.0,11.0
Francis Marion U - Francis Marion University,25278.3081,18988.7278,396.7183,429.0,1.0,3.0,1.0
GA - General Atomics,134526.6704,26145.5206,3204.4947,1136.0,2.0,2.0,9.0
GE HealthCare,136965.5,136965.6806,4539.8158,9827.0,1.0,1.0,3.0
GGC - Georgia Gwinnett College,159966.0615,136959.2781,2771.5547,131.0,1.0,2.0,1.0
Gallaudet U - Gallaudet University,4874605.777,209707.7772,98914.3269,8076.0,2.0,5.0,30.0
General Electric - General Electric Company,209294.4039,209294.3022,3769.4133,4051.0,1.0,1.0,1.0
George Mason U - George Mason University,10065461.6008,9135590.3564,172422.8033,8670.0,15.0,25.0,60.0
George Washington U - George Washington University,20285707.7796,17757915.9986,2223834.7569,500751.0,8.0,12.0,25.0
Georgetown U - Georgetown University,19950831.3681,6311599.2708,317267.7811,70295.0,14.0,17.0,40.0
Georgia Southern U - Georgia Southern University,18783.2054,19285.7589,1139.7872,312.0,2.0,4.0,3.0
Georgia State U - Georgia State University,2245822.5716,939669.1639,38750.2803,64741.0,9.0,9.0,40.0
Georgia Tech - Georgia Institute of Technology,124306110.1753,82031880.6444,2081724.63,580131.0,96.0,112.0,255.0
Gettysburg College - Gettysburg College,100834.6123,73661.8044,3737.2503,102.0,3.0,3.0,3.0
GiwoTech Inc.,5422890.2614,745585.8839,62699.8175,8180.0,2.0,1.0,8.0
Governors State U - Governors State University,493.9797,8.3417,7.3403,14.0,1.0,1.0,2.0
Grand Valley State U - Grand Valley State University,272304.9473,271909.7411,11093.3375,27076.0,2.0,2.0,3.0
HHMI - Howard Hughes Medical Institute,1723.3764,146.2933,4.8708,24.0,1.0,1.0,1.0
HPC Advisory Council - HPC Advisory Council,4492840.6014,4362289.4089,35084.4194,22585.0,1.0,4.0,58.0
Hampton U - Hampton University,58771.3519,6879.1747,1619.8575,198.0,2.0,2.0,2.0
