value,amount,group,dimension,metric
skx,56189525.3603,nonR1,queue,total_ace
GPU,37655410.6931,nonR1,queue,total_ace
wholenode,30443102.0026,nonR1,queue,total_ace
gpu-shared,28707135.6916,nonR1,queue,total_ace
RM-shared,28526447.439,nonR1,queue,total_ace
spr,22769983.4051,nonR1,queue,total_ace
gpuA100x4,21157262.8361,nonR1,queue,total_ace
icx,19038908.2288,nonR1,queue,total_ace
gpuA40x4,12408336.016,nonR1,queue,total_ace
ghx4,12406068.6256,nonR1,queue,total_ace
skx-normal,9038592.6758,nonR1,queue,total_ace
cpu,8924426.7266,nonR1,queue,total_ace
normal,7919985.5262,nonR1,queue,total_ace
EM,6739822.4468,nonR1,queue,total_ace
gpuA100x8,4221711.2733,nonR1,queue,total_ace
skx-dev,3393380.9969,nonR1,queue,total_ace
large-shared,3386345.8731,nonR1,queue,total_ace
gpuH200x8,3244629.4841,nonR1,queue,total_ace
wide,2678838.4803,nonR1,queue,total_ace
ai,2346024.7052,nonR1,queue,total_ace
standard,1994563.853,nonR1,queue,total_ace
highmem,1947603.5935,nonR1,queue,total_ace
RM-512,1888716.0771,nonR1,queue,total_ace
skx-large,1611883.8355,nonR1,queue,total_ace
icx-normal,1466938.2993,nonR1,queue,total_ace
h100,1155894.5661,nonR1,queue,total_ace
ghx4-interactive,606029.8209,nonR1,queue,total_ace
gpuA40x4-preempt,506214.4862,nonR1,queue,total_ace
long,437057.3336,nonR1,queue,total_ace
gpuA100x4-interactive,402517.3124,nonR1,queue,total_ace
GPU-small,381118.4728,nonR1,queue,total_ace
NA,365118.0984,nonR1,queue,total_ace
gpuH200x8-interactive,314172.687,nonR1,queue,total_ace
pvc,292359.0991,nonR1,queue,total_ace
